File,Date-Obs,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise,Star_5_x,Star_5_y,Star_5_flux,Star_5_noise
WASP36B.2025-02-17.0132_reduced.fits,2025-02-18T01:44:30.345,543,406,248148.3730253315,557.7797562642853,642,566,32383.469097381898,278.9577667923735,683,441,44869.12622549886,318.5314939497579,328,384,38454.11525847059,305.7010425328957,871,274,33465.938004683114,287.89814209878483
WASP36B.2025-02-17.0167_reduced.fits,2025-02-18T03:15:50.730,543,406,256513.33786884023,565.2284682690304,642,566,39558.43884503461,312.64324640480794,683,441,48486.0233675197,324.1592352222677,328,384,40591.851201349375,303.97781961568177,871,274,37677.28026372211,300.4746761596478
WASP36B.2025-02-17.0135_reduced.fits,2025-02-18T01:52:14.432,543,406,274211.9492592747,584.0952562682147,642,566,40543.748657601514,309.0999204219086,683,441,50148.220654080484,329.1437092389635,328,384,42829.62339662356,311.4988738523524,871,274,38228.9790985642,301.3913234452633
WASP36B.2025-02-17.0160_reduced.fits,2025-02-18T02:57:57.963,543,406,233516.88981774406,539.3581030842852,642,566,34521.82870017496,286.96176862830856,683,441,42223.79477552778,298.75062442959205,328,384,36926.86606058247,292.48791624144565,871,274,31980.26677186485,273.9032163567372
WASP36B.2025-02-17.0175_reduced.fits,2025-02-18T03:36:17.242,543,406,242224.49622057972,550.275493090314,642,566,34056.10854119785,281.93984304742065,683,441,43398.25238023938,305.96526229632167,328,384,37277.47838228895,293.08666545745376,871,274,32675.417703569234,275.1692622046837
WASP36B.2025-02-17.0172_reduced.fits,2025-02-18T03:28:39.035,543,406,257928.453029211,565.0700507344094,642,566,38785.337588386945,299.6646693769104,683,441,48745.390180480106,318.3600806162783,328,384,41458.2207117235,304.0917578562588,871,274,37014.98576232936,287.1392559695307
WASP36B.2025-02-17.0144_reduced.fits,2025-02-18T02:16:02.269,543,406,250626.39490361966,557.8575239062642,642,566,37196.60424826563,294.3059742300768,683,441,46738.06455728886,316.45363394876745,328,384,40387.70720743758,307.55427524600884,871,274,36161.214625726105,293.9008403825066
WASP36B.2025-02-17.0143_reduced.fits,2025-02-18T02:13:29.596,543,406,252850.03195136812,564.1020978705785,642,566,36526.0187743009,295.8709097878447,683,441,44987.76723877674,311.1244620015137,328,384,39893.64423301383,308.04651658514587,871,274,34758.38985608275,292.86851374032824
WASP36B.2025-02-17.0156_reduced.fits,2025-02-18T02:46:44.843,543,406,1954.6215407226402,52.45673143926499,642,566,20896.092722970407,226.24191424352523,683,441,26880.22496757105,242.41227334916923,328,384,342.7817893603816,33.761944877760136,871,274,18762.993326726813,212.28958688896725
WASP36B.2025-02-17.0151_reduced.fits,2025-02-18T02:33:57.899,543,406,245572.56228713712,559.75438234592,642,566,35740.12671741334,299.90340400214455,683,441,45067.456375075315,317.59023230394314,328,384,38302.35868653489,302.83196094307243,871,274,33456.596151715516,290.637527921123
WASP36B.2025-02-17.0173_reduced.fits,2025-02-18T03:31:12.103,543,406,239053.01327381982,547.3861848357412,642,566,34454.24536851771,289.60947427141724,683,441,42797.20372681753,304.9814635000545,328,384,37591.37017564106,296.32390981400505,871,274,33906.18438653503,288.6617165572602
WASP36B.2025-02-17.0174_reduced.fits,2025-02-18T03:33:44.574,543,406,251588.67431946145,558.005563827191,642,566,36047.64925835861,285.4498481603466,683,441,46984.36542266256,314.31676544469775,328,384,39791.644460170864,298.6821833980391,871,274,35434.480120255816,285.7718212302093
