File,Date-Obs,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise
WASP36B.2025-02-17.0132_reduced.fits,2025-02-18T01:44:30.345,543,406,248148.3730253315,557.7797562642853,425,340,277059.1931680547,586.5275034504447,545,279,147308.63088857403,461.1613337642193,541,616,455174.4757473492,722.585493130817
WASP36B.2025-02-17.0167_reduced.fits,2025-02-18T03:15:50.730,543,406,256513.33786884195,565.2284682690319,425,340,283759.8481079049,588.8376105352128,545,279,152152.02944898035,462.9522932110023,541,616,478637.17039210186,738.1025690209254
WASP36B.2025-02-17.0135_reduced.fits,2025-02-18T01:52:14.432,543,406,274211.9492592747,584.0952562682147,425,340,300636.0516217034,606.2931392960505,545,279,158203.19466876367,469.44221264082034,541,616,490090.5157276657,745.2862943851076
WASP36B.2025-02-17.0160_reduced.fits,2025-02-18T02:57:57.963,543,406,233516.8898177435,539.3581030842846,425,340,257913.61833596113,560.0979535900469,545,279,136459.10676074453,435.73380020700273,541,616,428910.22871011094,696.2085377169029
WASP36B.2025-02-17.0175_reduced.fits,2025-02-18T03:36:17.242,543,406,242224.49622057972,550.275493090314,425,340,265394.86251008476,570.9408766109616,545,279,143407.2893957935,452.5295555028096,541,616,449449.2918783972,716.3911379155104
WASP36B.2025-02-17.0172_reduced.fits,2025-02-18T03:28:39.035,543,406,257928.453029211,565.0700507344094,425,340,289134.86618389,594.0554155879505,545,279,153242.1455134583,461.5448845519775,541,616,477413.1545615401,735.107501005434
WASP36B.2025-02-17.0144_reduced.fits,2025-02-18T02:16:02.269,543,406,250626.39490361966,557.8575239062642,425,340,285720.5947901265,592.5215098717904,545,279,149607.60318676665,458.4607128882202,541,616,470191.0800257294,730.178720245012
WASP36B.2025-02-17.0143_reduced.fits,2025-02-18T02:13:29.596,543,406,252850.03195136812,564.1020978705785,425,340,279637.9741165153,586.6873373906807,545,279,147592.24760379034,457.13013115694673,541,616,468666.4924092686,731.8618801010374
WASP36B.2025-02-17.0156_reduced.fits,2025-02-18T02:46:44.843,543,406,1954.6215407226402,52.45673143926499,425,340,194564.84082910692,492.3312591977264,545,279,2204.9725788227147,61.63721963197058,541,616,287950.581385309,571.8460027674995
WASP36B.2025-02-17.0151_reduced.fits,2025-02-18T02:33:57.899,543,406,245572.56228713712,559.75438234592,425,340,270463.13552326825,578.126375569175,545,279,141997.51855482938,451.8520940475709,541,616,448443.7006390021,715.1318648416641
