File Object RA DEC Exptime Filter
WASP36B.2025-02-17.0172_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0164_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0133_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0148_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0191_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0187_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0168_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0144_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0152_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0153_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0145_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0186_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0169_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0190_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0149_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0132_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0165_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0173_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0178_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0181_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0139_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0142_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0154_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0174_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0162_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0135_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0158_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0159_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0134_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0163_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0175_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0155_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0143_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0138_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0180_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0196_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0179_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0156_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0140_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0183_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0195_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0160_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0176_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0177_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0161_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0194_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0182_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0141_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0131_reduced.fits WASP-36B 08:47:34.31 -08:07:13.3 150.0 R
WASP36B.2025-02-17.0166_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0189_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0170_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0150_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0146_reduced.fits WASP-36B 8:47:22 -8:10:52 150.0 R
WASP36B.2025-02-17.0185_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
WASP36B.2025-02-17.0193_reduced.fits WASP-36B 8:46:59 -8:16:09 150.0 R
