File,Date-Obs,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise,Star_4_x,Star_4_y,Star_4_flux,Star_4_noise
WASP36B.2025-02-17.0132_reduced.fits,2025-02-18T01:44:30.345,543,406,248148.40271517067,557.779782878588,425,340,277059.2057466893,586.5275141734154,545,279,147308.67309077983,461.1613795206614,541,616,455174.66217891994,722.5856221339286
WASP36B.2025-02-17.0167_reduced.fits,2025-02-18T03:15:50.730,543,406,256513.0076233502,565.2281761344389,425,340,283759.59962562623,588.8373995412828,545,279,152151.9229112749,462.9521781476143,541,616,478636.72343882656,738.1022662490711
WASP36B.2025-02-17.0135_reduced.fits,2025-02-18T01:52:14.432,543,406,274211.94848510093,584.0952556055028,425,340,300636.04302340193,606.2931322051724,545,279,158203.18604390183,469.4422034545332,541,616,490090.5079792053,745.2862891867962
WASP36B.2025-02-17.0160_reduced.fits,2025-02-18T02:57:57.963,543,406,233516.91749889572,539.3581287454839,425,340,257913.63245206684,560.0979661915084,545,279,136459.12955823424,435.7338263668841,541,616,428910.23570362316,696.2085427394728
WASP36B.2025-02-17.0175_reduced.fits,2025-02-18T03:36:17.242,543,406,242224.27084813963,550.2752883088137,425,340,265394.7220314101,570.9407535871113,545,279,143407.20039718636,452.5294571682194,541,616,449449.0474351662,716.3909673081095
WASP36B.2025-02-17.0172_reduced.fits,2025-02-18T03:28:39.035,543,406,257928.453029211,565.0700507344094,425,340,289134.86618389,594.0554155879505,545,279,153242.1455134583,461.5448845519775,541,616,477413.1545615401,735.107501005434
WASP36B.2025-02-17.0144_reduced.fits,2025-02-18T02:16:02.269,543,406,250626.4341537148,557.8575590855817,425,340,285720.6203334837,592.5215314265831,545,279,149607.62004257148,458.4607312712616,541,616,470191.2159753651,730.1788133384035
WASP36B.2025-02-17.0143_reduced.fits,2025-02-18T02:13:29.596,543,406,252850.05653977097,564.1021196648622,425,340,279638.0273382303,586.6873827484969,545,279,147592.262172892,457.130147092345,541,616,468666.5749739174,731.8619365082966
WASP36B.2025-02-17.0156_reduced.fits,2025-02-18T02:46:44.843,543,406,1954.6219151180496,52.45673500787656,425,340,194564.84798414633,492.3312664642154,545,279,2204.970516972948,61.637202906280656,541,616,287950.5807961677,571.8460022523772
WASP36B.2025-02-17.0151_reduced.fits,2025-02-18T02:33:57.899,543,406,245572.5596843397,559.7543800209739,425,340,270463.1548617125,578.126392294276,545,279,141997.49961793594,451.85207309282254,541,616,448443.74196042947,715.1318937324384
WASP36B.2025-02-17.0173_reduced.fits,2025-02-18T03:31:12.103,543,406,239053.03344458065,547.3862032603572,425,340,261308.96615133763,565.9447092794569,545,279,140281.16565748816,445.49806546717014,541,616,434771.19151707797,702.6774788814207
WASP36B.2025-02-17.0174_reduced.fits,2025-02-18T03:33:44.574,543,406,251588.72287985063,558.005607339649,425,340,282089.87291574193,587.417872037152,545,279,149250.50405498437,458.0710928777244,541,616,470487.0246346616,732.016509038752
WASP36B.2025-02-17.0161_reduced.fits,2025-02-18T03:00:30.639,543,406,262300.7969948509,568.9257475300515,425,340,286984.9225683263,588.1916102584239,545,279,156610.0421949071,466.8894423765482,541,616,486787.80946084094,741.456467322091
WASP36B.2025-02-17.0134_reduced.fits,2025-02-18T01:49:38.284,543,406,262429.8169546242,571.8337823989374,425,340,289748.41726150963,595.2415266087883,545,279,153265.0448934635,464.1528209908984,541,616,480572.0942879224,739.4121491368062
WASP36B.2025-02-17.0166_reduced.fits,2025-02-18T03:13:17.411,543,406,255386.82805471602,562.1080413318462,425,340,282634.8387512923,586.5241239361509,545,279,151581.8729217471,458.87506004556235,541,616,468691.86438328837,726.4133204955425
WASP36B.2025-02-17.0133_reduced.fits,2025-02-18T01:47:05.012,543,406,258959.82719277032,572.2843004955353,425,340,279156.4816604907,586.2768453542591,545,279,151911.00235138895,468.682631019877,541,616,473198.4534990183,737.657920921085
WASP36B.2025-02-17.0150_reduced.fits,2025-02-18T02:31:24.823,543,406,263152.7068018633,570.3731262447494,425,340,298797.44352424185,604.7749686122918,545,279,156602.17952317823,466.02661039728906,541,616,486459.45020453766,740.6971355047102
