File,Star_1_x,Star_1_y,Star_1_flux,Star_2_x,Star_2_y,Star_2_flux,Star_3_x,Star_3_y,Star_3_flux,Star_4_x,Star_4_y,Star_4_flux,Star_5_x,Star_5_y,Star_5_flux
WASP36B.2025-02-17.0132_reduced.fits,543,406,670671.3586896504,683,441,121267.87782583873,555,570,29783.48783764998,621,527,34124.38683094573,642,566,87522.88740580778
WASP36B.2025-02-17.0167_reduced.fits,543,406,693278.3989820275,683,441,131043.23852651395,555,570,32416.558422867573,621,527,35949.03846516523,642,566,106914.56095027926
WASP36B.2025-02-17.0135_reduced.fits,543,406,741113.3742840566,683,441,135535.7756940018,555,570,33612.780116692345,621,527,36651.64946954087,642,566,109577.76358437292
WASP36B.2025-02-17.0160_reduced.fits,543,406,631126.8040510695,683,441,114118.34522377697,555,570,25731.796324596155,621,527,30163.02054392343,642,566,93302.23279095195
WASP36B.2025-02-17.0175_reduced.fits,543,406,654660.1914814585,683,441,117292.41213968495,555,570,27304.441168639303,621,527,30023.07844189284,642,566,92043.6225146196
WASP36B.2025-02-17.0172_reduced.fits,543,406,697103.9271059757,683,441,131744.29778508138,555,570,1265.6457782787097,621,527,33338.353069694356,642,566,104825.23672537014
WASP36B.2025-02-17.0144_reduced.fits,543,406,677368.740955986,683,441,126319.07732808779,555,570,30698.468722551395,621,527,36530.05204785108,642,566,100531.35367964813
WASP36B.2025-02-17.0143_reduced.fits,543,406,683378.5311885702,683,441,121588.51373174957,555,570,30530.08717012686,621,527,32890.48470088611,642,566,98718.93744031197
WASP36B.2025-02-17.0156_reduced.fits,543,406,5282.761932751486,683,441,72649.22281588211,555,570,15904.077577692973,621,527,15645.565481261185,642,566,56475.89303195352
WASP36B.2025-02-17.0151_reduced.fits,543,406,663709.6207684857,683,441,121803.95848453976,555,570,26337.184334887534,621,527,30482.309903278903,642,566,96594.98302124662
WASP36B.2025-02-17.0173_reduced.fits,543,406,646089.2795799477,683,441,115668.09861093499,555,570,25707.525922072946,621,527,28432.967802114374,642,566,93119.55732015368
WASP36B.2025-02-17.0174_reduced.fits,543,406,679969.5212968936,683,441,126984.78214175021,555,570,30502.89772407177,621,527,35050.02500427756,642,566,97426.07292460502
WASP36B.2025-02-17.0161_reduced.fits,543,406,708921.0729590565,683,441,131272.241806872,555,570,34747.70681742258,621,527,38644.12721919378,642,566,104561.72421064207
WASP36B.2025-02-17.0134_reduced.fits,543,406,709269.7755530383,683,441,127232.73701842631,555,570,32164.43578316463,621,527,35110.71290979849,642,566,105622.53978481
WASP36B.2025-02-17.0166_reduced.fits,543,406,690234.6704181514,683,441,128231.00755934232,555,570,32761.458268100632,621,527,34500.1705056014,642,566,104492.84268081032
WASP36B.2025-02-17.0133_reduced.fits,543,406,699891.4248453252,683,441,128013.87676212839,555,570,31169.002933932945,621,527,31183.817320805294,642,566,98418.46843405219
WASP36B.2025-02-17.0150_reduced.fits,543,406,711223.531896928,683,441,131916.8529641379,555,570,35065.447428708816,621,527,34907.54366206446,642,566,108929.49517533077
WASP36B.2025-02-17.0142_reduced.fits,543,406,468653.84839273593,683,441,72968.1526493913,555,570,3023.0898342675423,621,527,786.695196958998,642,566,37840.17732662099
WASP36B.2025-02-17.0145_reduced.fits,543,406,675830.4319449101,683,441,124314.32796872439,555,570,31279.65443914335,621,527,27710.82927665083,642,566,100316.24647621792
WASP36B.2025-02-17.0148_reduced.fits,543,406,683176.92050161,683,441,128578.82658082244,555,570,32459.21994247416,621,527,30749.435808636335,642,566,102539.56475450908
WASP36B.2025-02-17.0139_reduced.fits,543,406,259864.81098496652,683,441,7409.39816617439,555,570,640.8309285773363,621,527,0.0,642,566,3832.1138690319585
WASP36B.2025-02-17.0193_reduced.fits,543,406,635385.2949796452,683,441,117480.38691340933,555,570,28102.69735125824,621,527,30070.196590385684,642,566,92336.52526861099
WASP36B.2025-02-17.0194_reduced.fits,543,406,629138.4145887765,683,441,111887.45995378954,555,570,28245.419754352777,621,527,26546.830165015774,642,566,89747.87782809322
WASP36B.2025-02-17.0181_reduced.fits,543,406,678545.3371673934,683,441,128085.1774311543,555,570,34349.189385596954,621,527,37160.580582694245,642,566,101642.30200545385
WASP36B.2025-02-17.0179_reduced.fits,543,406,640972.0169020055,683,441,118085.74615058466,555,570,27661.64861048624,621,527,30439.910477149453,642,566,96185.4410680888
WASP36B.2025-02-17.0186_reduced.fits,543,406,572605.529639216,683,441,104768.96521384326,555,570,24053.31264598733,621,527,22171.848505145852,642,566,78721.86388029643
WASP36B.2025-02-17.0149_reduced.fits,543,406,697497.99766573,683,441,131549.20186024322,555,570,32429.881635344427,621,527,36008.2334555057,642,566,735.4602922382827
WASP36B.2025-02-17.0187_reduced.fits,543,406,610738.998236033,683,441,106621.24391742605,555,570,22861.909567278955,621,527,25681.316442969026,642,566,88900.01163994514
WASP36B.2025-02-17.0178_reduced.fits,543,406,657437.377285507,683,441,120116.56006621823,555,570,33272.47203680241,621,527,35873.597265518314,642,566,96152.11193124112
WASP36B.2025-02-17.0180_reduced.fits,543,406,664300.7200888253,683,441,121349.64058342815,555,570,31009.847414890188,621,527,32127.89104907282,642,566,94751.38844403518
WASP36B.2025-02-17.0195_reduced.fits,543,406,585111.6936766569,683,441,100537.15670944918,555,570,21588.78746030956,621,527,23353.492407750928,642,566,83022.4765715528
WASP36B.2025-02-17.0192_reduced.fits,543,406,618764.7638386289,683,441,109684.41923550158,555,570,29505.76371629395,621,527,28452.656357919674,642,566,88893.1804484206
WASP36B.2025-02-17.0138_reduced.fits,543,406,544770.8548903103,683,441,83737.27522396613,555,570,8332.59533814463,621,527,8488.250262941034,642,566,66978.30911307086
WASP36B.2025-02-17.0159_reduced.fits,543,406,703171.4761467525,683,441,129811.47702849375,555,570,31397.7138628422,621,527,30992.261157994697,642,566,101769.41053613446
WASP36B.2025-02-17.0182_reduced.fits,543,406,644803.8416610158,683,441,121123.55909511309,555,570,30912.608377641936,621,527,32491.951601012042,642,566,97321.68701530989
WASP36B.2025-02-17.0185_reduced.fits,543,406,597312.5903317564,683,441,109216.10548231064,555,570,29766.523394334792,621,527,29962.9581355027,642,566,84869.87771733802
WASP36B.2025-02-17.0190_reduced.fits,543,406,632315.2610383682,683,441,113755.00084163097,555,570,29798.91273200582,621,527,30782.055875998845,642,566,89725.25691897699
WASP36B.2025-02-17.0168_reduced.fits,543,406,676488.5858440449,683,441,123858.16421255202,555,570,30149.850081154542,621,527,31460.1341304779,642,566,99231.1595635654
WASP36B.2025-02-17.0158_reduced.fits,543,406,697909.2123185762,683,441,120404.43872929193,555,570,29327.593702560996,621,527,33895.89496987949,642,566,90341.96536452704
