File,Star_1_x,Star_1_y,Star_1_flux,Star_1_noise,Star_2_x,Star_2_y,Star_2_flux,Star_2_noise,Star_3_x,Star_3_y,Star_3_flux,Star_3_noise
WASP36B.2025-02-17.0132_reduced.fits,543,406,670671.3586896504,625.9431850526487,555,570,29783.48783764998,298.6848701748483,683,441,121267.87782583873,417.1068119124219
WASP36B.2025-02-17.0167_reduced.fits,543,406,693278.3989820275,632.5803311307974,555,570,32416.558422867573,291.0768029299202,683,441,131043.23852651395,421.40781939532246
WASP36B.2025-02-17.0135_reduced.fits,543,406,741113.3742840566,653.4103942836963,555,570,33612.780116692345,309.96182887457945,683,441,135535.7756940018,427.6454797616692
WASP36B.2025-02-17.0160_reduced.fits,543,406,631126.8040510695,603.6795667403627,555,570,25731.796324596155,260.19977132209834,683,441,114118.34522377697,386.6509824947045
WASP36B.2025-02-17.0175_reduced.fits,543,406,654660.1914814585,616.77614886045,555,570,27304.441168639303,268.1861951913393,683,441,117292.41213968495,397.42826376083286
WASP36B.2025-02-17.0172_reduced.fits,543,406,697103.9271059757,630.8181706841067,555,570,1265.6457782787097,47.81747760395872,683,441,131744.29778508138,410.78955333071724
WASP36B.2025-02-17.0144_reduced.fits,543,406,677368.740955986,623.5549400247819,555,570,30698.468722551395,289.98670803254356,683,441,126319.07732808779,410.56944573377626
WASP36B.2025-02-17.0143_reduced.fits,543,406,683378.5311885702,633.9957350663224,555,570,30530.08717012686,302.1610459109579,683,441,121588.51373174957,403.95197608923746
WASP36B.2025-02-17.0156_reduced.fits,543,406,5282.761932751486,61.42442360797741,555,570,15904.077577692973,214.21471124490694,683,441,72649.22281588211,315.6164261568851
WASP36B.2025-02-17.0151_reduced.fits,543,406,663709.6207684857,632.5614418169373,555,570,26337.184334887534,274.2372415380264,683,441,121803.95848453976,415.15459563568646
WASP36B.2025-02-17.0173_reduced.fits,543,406,646089.2795799477,614.1963556232712,555,570,25707.525922072946,260.18181353195774,683,441,115668.09861093499,396.6668214696605
WASP36B.2025-02-17.0174_reduced.fits,543,406,679969.5212968936,622.8642994400922,555,570,30502.89772407177,273.72608824986844,683,441,126984.78214175021,406.41450967943337
WASP36B.2025-02-17.0161_reduced.fits,543,406,708921.0729590565,634.2797194189887,555,570,34747.70681742258,289.4318397793866,683,441,131272.241806872,399.3591304849734
WASP36B.2025-02-17.0134_reduced.fits,543,406,709269.7755530383,640.0897349715445,555,570,32164.43578316463,300.14863335424525,683,441,127232.73701842631,417.5637566271454
WASP36B.2025-02-17.0166_reduced.fits,543,406,690234.6704181514,627.3546780603939,555,570,32761.458268100632,291.29327705760306,683,441,128231.00755934232,406.97884166018645
